date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:14	234526/234526	---M--	200	added ('OK')	image/png	etag:%223941e-61df90e586440%22	https://bit2sky.com/assets/images/other/leadership-img-4.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/leadership-img-4.png	(from https://bit2sky.com/services)
17:36:15	200552/200552	---M--	200	added ('OK')	image/png	etag:%2230f68-61df90e586440%22	https://bit2sky.com/assets/images/service/mob-service-item4.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/service/mob-service-item4.png	(from https://bit2sky.com/digital-healthcare-innovations)
17:36:16	1405/1405	---M--	200	added ('OK')	image/png	etag:%2257d-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-1.png	(from https://bit2sky.com/custom-web-applications)
17:36:16	190473/190473	---M--	200	added ('OK')	image/png	etag:%222e809-61df90e586440%22	https://bit2sky.com/assets/images/hero/hero-image.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/hero/hero-image.png	(from https://bit2sky.com/custom-web-applications)
17:36:16	813529/813529	---M--	200	added ('OK')	image/png	etag:%22c69d9-61df90e586440%22	https://bit2sky.com/assets/images/service/digitalmarketing.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/service/digitalmarketing.png	(from https://bit2sky.com/cloud-software-solutions)
17:36:17	990/990	---M--	200	added ('OK')	image/png	etag:%223de-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-2.png	(from https://bit2sky.com/custom-web-applications)
17:36:17	1265/1265	---M--	200	added ('OK')	image/png	etag:%224f1-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-3.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-3.png	(from https://bit2sky.com/custom-web-applications)
17:36:17	1058/1058	---M--	200	added ('OK')	image/png	etag:%22422-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-4.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-4.png	(from https://bit2sky.com/custom-web-applications)
17:36:18	924/924	---M--	200	added ('OK')	image/png	etag:%2239c-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-5.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-5.png	(from https://bit2sky.com/custom-web-applications)
17:36:19	950/950	---M--	200	added ('OK')	image/png	etag:%223b6-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-6.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-6.png	(from https://bit2sky.com/custom-web-applications)
17:36:19	1144/1144	---M--	200	added ('OK')	image/png	etag:%22478-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-7.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-7.png	(from https://bit2sky.com/custom-web-applications)
17:36:20	1627/1627	---M--	200	added ('OK')	image/png	etag:%2265b-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-8.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-8.png	(from https://bit2sky.com/custom-web-applications)
17:36:20	1142/1142	---M--	200	added ('OK')	image/png	etag:%22476-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-9.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-9.png	(from https://bit2sky.com/custom-web-applications)
17:36:21	850/850	---M--	200	added ('OK')	image/png	etag:%22352-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-10.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-10.png	(from https://bit2sky.com/custom-web-applications)
17:36:21	1216/1216	---M--	200	added ('OK')	image/png	etag:%224c0-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-11.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-11.png	(from https://bit2sky.com/custom-web-applications)
17:36:22	1184/1184	---M--	200	added ('OK')	image/png	etag:%224a0-615f83fa34000%22	https://bit2sky.com/assets/images/icons/icon-12.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/icon-12.png	(from https://bit2sky.com/custom-web-applications)
17:36:23	93684/93684	---M--	200	added ('OK')	image/png	etag:%2216df4-615f83fa34000%22	https://bit2sky.com/assets/images/about/hellopic.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/about/hellopic.png	(from https://bit2sky.com/custom-web-applications)
17:36:24	144273/144273	---M--	200	added ('OK')	image/png	etag:%2223391-615f83fa34000%22	https://bit2sky.com/assets/images/about/company-about.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/about/company-about.png	(from https://bit2sky.com/seamless-it-transition-services)
17:36:24	1845/1845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22735-615f83fa34000%22	https://bit2sky.com/assets/images/icons/research.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/research.svg	(from https://bit2sky.com/seamless-it-transition-services)
17:36:24	4151/4151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221037-615f83fa34000%22	https://bit2sky.com/assets/images/icons/chat.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/chat.svg	(from https://bit2sky.com/seamless-it-transition-services)
17:36:25	6258/6258	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221872-615f83fa34000%22	https://bit2sky.com/assets/images/icons/monitor.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/monitor.svg	(from https://bit2sky.com/seamless-it-transition-services)
